iter	Passed	Remaining
841	9393	1762
842	9400	1750
843	9407	1738
844	9414	1726
845	9422	1715
846	9434	1704
847	9446	1693
848	9459	1682
849	9472	1671
850	9483	1660
851	9494	1649
852	9504	1637
853	9514	1626
854	9523	1615
855	9532	1603
856	9539	1591
857	9546	1579
858	9557	1568
859	9565	1557
860	9577	1546
861	9588	1535
862	9599	1523
863	9612	1513
864	9624	1502
865	9634	1490
866	9644	1479
867	9655	1468
868	9666	1457
869	9679	1446
870	9691	1435
871	9700	1423
872	9707	1412
873	9717	1400
874	9728	1389
875	9735	1378
876	9745	1366
877	9753	1355
878	9764	1344
879	9775	1333
880	9787	1322
881	9799	1311
882	9810	1299
883	9822	1288
884	9833	1277
885	9843	1266
886	9853	1255
887	9862	1243
888	9872	1232
889	9882	1221
890	9892	1210
891	9901	1198
892	9911	1187
893	9922	1176
894	9932	1165
895	9944	1154
896	9957	1143
897	9970	1132
898	9982	1121
899	9993	1110
900	10001	1098
901	10011	1087
902	10022	1076
903	10032	1065
904	10042	1054
905	10053	1043
906	10064	1031
907	10074	1020
908	10085	1009
909	10097	998
910	10108	987
911	10119	976
912	10129	965
913	10139	954
914	10149	942
915	10159	931
916	10168	920
917	10178	909
918	10189	898
919	10200	887
920	10211	875
921	10219	864
922	10229	853
923	10240	842
924	10251	831
925	10262	820
926	10271	808
927	10281	797
928	10292	786
929	10301	775
930	10311	764
931	10321	753
932	10332	741
933	10342	730
934	10353	719
935	10361	708
936	10369	697
937	10381	686
938	10392	675
939	10400	663
940	10410	652
941	10419	641
942	10429	630
943	10439	619
944	10451	608
945	10463	597
946	10474	586
947	10486	575
948	10498	564
949	10510	553
950	10520	542
951	10531	530
952	10541	519
953	10551	508
954	10560	497
955	10570	486
956	10580	475
957	10592	464
958	10603	453
959	10614	442
960	10625	431
961	10635	420
962	10646	409
963	10658	398
964	10669	386
965	10681	375
966	10691	364
967	10702	353
968	10713	342
969	10723	331
970	10735	320
971	10748	309
972	10757	298
973	10766	287
974	10776	276
975	10788	265
976	10799	254
977	10811	243
978	10819	232
979	10830	221
980	10841	209
981	10848	198
982	10858	187
983	10869	176
984	10879	165
985	10888	154
986	10899	143
987	10907	132
988	10914	121
989	10922	110
990	10933	99
991	10941	88
992	10949	77
993	10961	66
994	10970	55
995	10978	44
996	10990	33
997	11001	22
998	11012	11
999	11022	0
